Barnets	Barnets
kom	komme
fra	fra
en	en
musikalsk	musikalsk
familie	familie
.	$.

Dette	dette
fikk	få
hun	hun
plassert	plassere
hos	hos
adoptivforeldre	adoptivforeldre
som	som
selv	selv
var	være
svært	svær
musikalske	musikalsk
.	$.

Dette	dette
barnet	barn
ble	bli
for	for
øvrig	øvrig
musiker	musiker
.	$.

Hun	hun
fortalte	fortelle
at	at
hun	hun
gjorde	gjøre
seg	seg
besøk	besøk
i	i
nabolaget	nabolag
til	til
adoptivforeldre	adoptivforeldre
,	$,
for	for
å	å
ha	ha
et	en
påskudd	påskudd
til	til
å	å
stikke	stikke
innom	innom
.	$.

Hun	hun
likte	like
å	å
vite	vite
hvordan	hvordan
det	det
gikk	gå
med	med
barna	barn
hun	hun
adopterte	adopterte
.	$.

En	en
håndskrevet	håndskrevet
påskrift	påskrift
i	i
et	en
brev	brev
til	til
Kari	Kari
Trosvik	Trosvik
sine	sin
adoptivforeldre	adoptivforeldre
fra	fra
1955	1955
forteller	fortelle
om	om
dette	dette
:	$:

«	$"
Kjære	kjær
alle	all
3	3
.	$.

Tusen	tusen
takk	takk
for	for
sist	sist
,	$,
det	det
var	være
en	en
stor	stor
glede	glede
for	for
mig	mig
også	også
å	å
være	være
sammen	sammen
med	med
dere	dere
de	de
første	første
dagene	dag
,	$,
jeg	jeg
glemmer	glemme
aldri	aldri
den	den
nydelige	nydelig
stund	stund
i	i
kirken	kirke
.	$.

Ønsker	ønske
dere	dere
av	av
hjertet	hjerte
til	til
lykke	lykke
.	$.

Dr.	dr.
Haldorsen	Haldorsen
ber	be
hilse	hilse
hjertelig	hjertelig
,	$,
vi	vi
vil	ville
bli	bli
gla	gla
over	over
å	å
høre	høre
litt	litt
fra	fra
dere	dere
med	med
det	det
første	første
.	$.
»	$"

Ukjent	ukjent
for	for
offentligheten	offentlighet
:	$:

Plasseringen	Plasseringen
av	av
adoptivbarn	adoptivbarn
på	på
Chr	Chr
.	$.
Michelsens	Michelsens
barnehjem	barnehjem
foregikk	foregå
uten	uten
offentlig	offentlig
oppmerksomhet	oppmerksomhet
.	$.

I	i
årsmeldingene	årsmeldingene
fra	fra
barnehjemmet	barnehjemmet
,	$,
som	som
hvert	hver
år	år
ble	bli
lagt	legge
frem	frem
for	for
fylkestinget	fylkestinget
,	$,
ble	bli
ikke	ikke
adopsjonsformidlingen	adopsjonsformidlingen
nevnt	nevne
med	med
et	en
ord	ord
,	$,
til	til
tross	tross
for	for
at	at
de	de
adopterte	adopterte
kunne	kunne
utgjøre	utgjøre
så	så
mange	mange
som	som
hvert	hver
fjerde	fjerde
utskrevne	utskrevne
barn	barn
.	$.

Først	først
da	da
fylkestinget	fylkestinget
i	i
1967	1967
behandlet	behandle
saken	sak
om	om
bygging	bygging
av	av
en	en
spedbarnsavdeling	spedbarnsavdeling
ved	ved
hjemmet	hjem
,	$,
omtales	omtale
adopsjonsvirksomheten	adopsjonsvirksomheten
i	i
et	en
offentlig	offentlig
sakspapir	sakspapir
.	$.

Solveig	Solveig
Garnæs	Garnæs
døde	dø
i	i
1963	1963
,	$,
og	og
i	i
1964	1964
sa	si
Nasjonalhjelpen	Nasjonalhjelpen
fra	fra
seg	seg
bevillingen	bevillingen
til	til
å	å
drive	drive
adopsjonsformidling	adopsjonsformidling
.	$.

Chr	Chr
.	$.
Michelsens	Michelsens
barnehjem	barnehjem
ble	bli
fortsatt	fortsatt
brukt	bruke
til	til
observasjon	observasjon
av	av
adopsjonsbarn	adopsjonsbarn
til	til
tidlig	tidlig
på	på
80-tallet	80-tall
,	$,
men	men
andre	annen
instanser	instans
sto	stå
for	for
formidlingen	formidlingen
.	$.

I	i
1958	1958
møtte	møte
den	den
nyansatte	nyansatte
barnevernssekretæren	barnevernssekretæren
Martha	Martha
Johnsen	Johnsen
for	for
første	første
gang	gang
i	i
styret	styre
for	for
Chr	Chr
.	$.
Michelsens	Michelsens
barnehjem	barnehjem
:	$:

-	$-
Jeg	jeg
fikk	få
i	i
oppgave	oppgave
fra	fra
Fylkesmannen	Fylkesmannen
å	å
rydde	rydde
opp	opp
på	på
barnehjemmet	barnehjemmet
.	$.

Ble	bli
ikke	ikke
det	det
gjort	gjøre
,	$,
ville	ville
barnehjemmet	barnehjemmet
bli	bli
nedlagt	nedlegge
,	$,
forteller	fortelle
Johnsen	Johnsen
.	$.

Økonomiproblemene	Økonomiproblemene
var	være
en	en
gjenganger	gjenganger
i	i
styremøtene	styremøtene
tidlig	tidlig
på	på
60-tallet	60-tall
.	$.

Spedbarnsavdelingen	Spedbarnsavdelingen
var	være
dyr	dyr
å	å
drive	drive
og	og
dagpengene	dagpengene
fra	fra
mødrene	mødrene
som	som
skulle	skulle
adoptere	adoptere
vekk	vekk
barna	barn
uteble	utebli
.	$.

Johnsen	Johnsen
og	og
tilsynslege	tilsynslege
Inger	Inger
Haldorsen	Haldorsen
la	legge
slagplanen	slagplanen
som	som
skulle	skulle
bedre	bedre
barnehjemmets	barnehjemmets
økonomi	økonomi
.	$.

Først	først
skulle	skulle
departementet	departement
gi	gi
statsstøtte	statsstøtte
til	til
en	en
observasjonsavdeling	observasjonsavdeling
for	for
adopsjonsbarn	adopsjonsbarn
,	$,
dernest	dernest
skulle	skulle
fylkeskommunen	fylkeskommune
bygge	bygge
en	en
helt	hel
ny	ny
spedbarnsavdeling	spedbarnsavdeling
.	$.

Først	først
kom	komme
statsstøtten	statsstøtte
.	$.

Så	så
i	i
1969	1969
åpnet	åpne
den	den
nye	ny
spedbarnsavdelingen	spedbarnsavdelingen
,	$,
men	men
da	da
hadde	ha
Haldorsen	Haldorsen
gitt	gi
seg	seg
som	som
tilsynslege	tilsynslege
.	$.

Legger	legge
ned	ned
:	$:

Åpningen	åpning
av	av
spedbarnsavdelingen	spedbarnsavdelingen
skjedde	skje
ved	ved
et	en
tidsskille	tidsskille
.	$.

Bedre	god
sosiale	sosial
støtteordninger	støtteordning
gjorde	gjøre
at	at
enslige	enslig
mødre	mor
valgte	velge
å	å
beholde	beholde
sine	sin
barn	barn
.	$.

Fortsatt	fortsatt
foregikk	foregå
det	det
adopsjonsformidling	adopsjonsformidling
,	$,
men	men
utover	utover
på	på
70-tallet	70-tall
dominerte	dominere
de	de
typiske	typiske
barnevernsadopsjonene	barnevernsadopsjonene
.	$.

Som	som
barnevernssekretær	barnevernssekretær
fikk	få
Martha	Martha
Johnsen	Johnsen
en	en
nøkkelrolle	nøkkelrolle
i	i
adopsjonssakene	adopsjonssakene
.	$.

Hun	hun
var	være
saksbehandler	saksbehandler
for	for
alle	all
adopsjonsbevillingene	adopsjonsbevillingene
Fylkesmannen	Fylkesmannen
behandlet	behandle
.	$.

I	i
det	det
nyopprettede	nyopprettede
faglige	faglig
utvalg	utvalg
for	for
adopsjonssaker	adopsjonssaker
var	være
hun	hun
både	både
saksforbereder	saksforbereder
og	og
sekretær	sekretær
,	$,
og	og
hun	hun
formidlet	formidle
adopsjoner	adopsjoner
.	$.

Det	det
skjedde	skje
ofte	ofte
at	at
hun	hun
leverte	levere
eller	eller
hentet	hente
barn	barn
på	på
Chr	Chr
.	$.
Michelsens	Michelsens
barnehjem	barnehjem
,	$,
forteller	fortelle
tidligere	tidlig
ansatte	ansatt
ved	ved
barnehjemmet	barnehjemmet
.	$.

I	i
tillegg	tillegg
veiledet	veilede
hun	hun
sosialkontorene	sosialkontorene
i	i
barnevernssaker	barnevernssaker
,	$,
og	og
behandlet	behandle
alle	all
klagesakene	klagesakene
fylkesmannen	fylkesmann
fikk	få
.	$.

På	på
slutten	slutt
av	av
70-tallet	70-tall
og	og
begynnelsen	begynnelse
av	av
80-tallet	80-tall
fikk	få
Johnsen	Johnsen
kritikk	kritikk
for	for
håndteringen	håndtering
av	av
flere	mange
adopsjonssaker	adopsjonssaker
og	og
sine	sin
mange	mange
roller	rolle
.	$.

Denne	Denne
kom	komme
både	både
fra	fra
fagfolk	fagfolk
i	i
barnevernet	barnevern
og	og
fra	fra
departementet	departement
.	$.

Sosialkontorene	Sosialkontorene
ble	bli
i	i
disse	disse
årene	år
bemannet	bemannet
med	med
fagutdannede	fagutdannede
barnevernsarbeidere	barnevernsarbeidere
.	$.

Ny	ny
fagkunnskap	fagkunnskap
,	$,
nye	ny
holdninger	holdning
og	og
nye	ny
løsninger	løsning
kom	komme
i	i
konflikt	konflikt
med	med
Johnsens	Johnsen
oppfatninger	oppfatning
.	$.

Gulating	Gulating
lagmannsrett	lagmannsrett
har	ha
i	i
en	en
dom	dom
i	i
2011	2011
kommentert	kommentere
Johnsens	Johnsen
roller	rolle
i	i
barnevernet	barnevern
på	på
bakgrunn	bakgrunn
av	av
kritikken	kritikk
hun	hun
fikk	få
i	i
adopsjonssakene	adopsjonssakene
:	$:

«	$"
At	at
hun	hun
var	være
en	en
sterk	sterk
person	person
som	som
kunne	kunne
gå	gå
imot	imot
andres	annen
faglige	faglig
råd	råd
i	i
adopsjonssaker	adopsjonssaker
,	$,
er	være
etter	etter
lagmannsrettens	lagmannsrettens
syn	syn
ikke	ikke
noe	noe
indisium	indisium
på	på
at	at
hennes	hennes
arbeid	arbeid
i	i
forhold	forhold
til	til
barnevernet	barnevern
på	på
1960-tallet	1960-tall
var	være
kritikkverdig	kritikkverdig
ut	ut
fra	fra
det	det
som	som
den	den
gang	gang
var	være
det	det
rådende	rådende
syn	syn
både	både
barnefaglig	barnefaglig
og	og
i	i
samfunnet	samfunn
for	for
øvrig	øvrig
.	$.
»	$"

Martha	Martha
Johnsen	Johnsen
sier	si
til	til
BT	BT
at	at
hun	hun
ikke	ikke
husker	huske
detaljer	detalj
i	i
disse	disse
sakene	sak
og	og
derfor	derfor
ikke	ikke
kan	kunne
kommentere	kommentere
dem	de
.	$.

Martha	Martha
Johnsen	Johnsen
jobbet	jobbe
med	med
barnevern	barnevern
i	i
Bergen	Bergen
gjennom	gjennom
nærmere	nær
50	50
år	år
.	$.

Hun	hun
fikk	få
som	som
hovedoppgave	hovedoppgave
å	å
bygge	bygge
opp	opp
et	en
fungerende	fungere
barnevern	barnevern
i	i
kommunene	kommune
i	i
Hordaland	Hordaland
etter	etter
at	at
barnevernsloven	barnevernsloven
ble	bli
vedtatt	vedta
i	i
1953	1953
.	$.

Hun	hun
gikk	gå
av	av
med	med
pensjon	pensjon
i	i
1988	1988
,	$,
70	70
år	år
gammel	gammel
.	$.

Fotoalbum	Fotoalbum
uten	uten
navn	navn
:	$:

To	to
år	år
etter	etter
døde	dø
Hjørdis	Hjørdis
Djuvik	Djuvik
.	$.

Hun	hun
hadde	ha
adopsjon	adopsjon
som	som
en	en
av	av
sine	sin
livsoppgaver	livsoppgaver
.	$.

I	i
minneordet	minneordet
om	om
henne	hun
i	i
BT	BT
23.10.90	23.10.90
skrev	skrive
signaturen	signaturen
Eli	Eli
H.S.	H.S.
:	$:

«	$"
Sist	sist
gangen	gang
jeg	jeg
besøkte	besøke
henne	hun
,	$,
viste	vise
hun	hun
meg	jeg
albumet	albumet
av	av
alle	all
de	de
barna	barn
hun	hun
hadde	ha
hatt	ha
med	med
å	å
gjøre	gjøre
.	$.

Det	det
gjorde	gjøre
et	en
sterkt	sterk
inntrykk	inntrykk
.	$.

Hun	hun
visste	vite
hvordan	hvordan
det	det
var	være
gått	gå
med	med
hver	hver
enkelt	enkel
og	og
kunne	kunne
bokstavelig	bokstavelig
talt	telle
sitte	sitte
med	med
hele	hel
sitt	sin
livsverk	livsverk
i	i
hendene	hånd
.	$.
»	$"

Albumet	Albumet
,	$,
som	som
datteren	datter
til	til
Hjørdis	Hjørdis
Djuvik	Djuvik
har	ha
tatt	ta
vare	vare
på	på
,	$,
er	være
fylt	fylle
med	med
barnebilder	barnebilder
mor	mor
opp	opp
gjennom	gjennom
årene	år
fikk	få
tilsendt	tilsendt
fra	fra
takknemlige	takknemlig
adoptivforeldre	adoptivforeldre
.	$.

Det	det
er	være
som	som
de	de
fleste	mange
familiealbum	familiealbum
,	$,
men	men
med	med
én	én
viktig	viktig
forskjell	forskjell
.	$.

Her	her
er	være
ingen	ingen
navn	navn
,	$,
bare	bare
henvisninger	henvisninger
til	til
et	en
arkivnummer	arkivnummer
i	i
Bergen	Bergen
Helseråds	Helseråds
gamle	gammel
adopsjonsarkiv	adopsjonsarkiv
.	$.

Skap	Skap
latter	latter
i	i
sikkerhetskontrollen	sikkerhetskontrollen
|	$|

Ha	ha
det	det
litt	litt
moro	moro
med	med
røntgenmaskinen	røntgenmaskinen
.	$.

Klar	klar
beskjed	beskjed
:	$:

Kunstneren	Kunstneren
Evan	Evan
Roth	Roth
har	ha
lagd	lagd
plater	plate
i	i
rustfritt	rustfritt
stål	stål
som	som
sender	sende
en	en
melding	melding
til	til
vekteren	vekteren
som	som
studerer	studere
røntgenbildene	røntgenbildene
av	av
bagasjen	bagasje
din	din
.	$.

Patriot	Patriot
:	$:

Om	om
budskapet	budskap
fra	fra
denne	denne
stålplata	stålplata
forsikrer	forsikre
sikkerhetspersonalet	sikkerhetspersonalet
om	om
at	at
du	du
ikke	ikke
har	ha
onde	ond
hensikter	hensikt
,	$,
er	være
uvisst	uviss
.	$.

Morsomt	Morsomt
?	$?

Nok	nok
et	en
eksempel	eksempel
på	på
klar	klar
beskjed	beskjed
fra	fra
passasjer	passasjer
til	til
vekter	vekt
-	$-
levert	levere
på	på
visuelt	visuell
vis	vis
.	$.

Ha	ha
en	en
god	god
dag	dag
!	$!

Ideen	idé
kan	kunne
også	også
brukes	bruke
til	til
å	å
gjøre	gjøre
en	en
vekters	vekters
arbeidsdag	arbeidsdag
litt	litt
mer	mye
lystig	lystig
.	$.

Hittil	Hittil
har	ha
spøkefugler	spøkefugler
på	på
vei	vei
inn	inn
i	i
sikkerhetssjekken	sikkerhetssjekken
på	på
flyplasser	flyplasser
stort	stor
sett	se
hatt	ha
muntlige	muntlig
virkemidler	virkemiddel
å	å
ty	ty
til	til
.	$.

Vitser	Vitser
som	som
«	$"
må	måtte
jeg	jeg
ta	ta
bomba	bomba
ut	ut
av	av
sekken	sekken
før	før
jeg	jeg
sender	sende
den	den
gjennom	gjennom
røntgenscanneren	røntgenscanneren
?	$?
»	$"
har	ha
vært	være
populære	populær
blant	blant
skjemtegaukene	skjemtegaukene
i	i
security-køen	security-køen
,	$,
om	om
enn	enn
ikke	ikke
så	så
populære	populær
blant	blant
bryske	bryske
sikkerhetsvakter	sikkerhetsvakter
.	$.

Nå	nå
har	ha
kunstneren	kunstner
Evan	Evan
Roth	Roth
begynt	begynne
på	på
et	en
prosjekt	prosjekt
som	som
kan	kunne
by	by
på	på
en	en
mer	mye
visuell	visuell
form	form
for	for
humor	humor
i	i
den	den
tidvis	tidvis
humørløse	humørløse
rutinesjekken	rutinesjekken
alle	all
passasjerer	passasjer
må	måtte
gjennom	gjennom
før	før
en	en
flytur	flytur
.	$.

Roth	Roth
kaller	kalle
prosjektet	prosjekt
«	$"
T.S.A.	T.S.A.
Communication	Communication
»	$"
,	$,
og	og
hevder	hevde
at	at
han	han
ønsker	ønske
å	å
gi	gi
vekterne	vekterne
en	en
opplevelse	opplevelse
og	og
en	en
sjanse	sjanse
til	til
å	å
vite	vite
litt	litt
mer	mye
om	om
deg	du
som	som
passasjer	passasjer
enn	enn
det	det
de	de
får	få
ut	ut
av	av
å	å
se	se
på	på
innholdet	innhold
i	i
veska	veske
di	din
på	på
pc-skjermen	pc-skjermen
.	$.

Hjelpemidlene	Hjelpemidlene
er	være
plater	plate
i	i
rustfritt	rustfritt
stål	stål
der	der
et	en
budskap	budskap
er	være
stanset	stanse
ut	ut
med	med
bokstaver	bokstaver
.	$.

«	$"
Ingenting	ingenting
å	å
se	se
her	her
»	$"
,	$,
«	$"
Pass	Pass
dine	din
egne	egen
saker	sak
»	$"
og	og
«	$"
Takk	takk
for	for
at	at
du	du
er	være
du	du
»	$"
er	være
blant	blant
meldingene	melding
du	du
som	som
passasjer	passasjer
kan	kunne
sende	sende
på	på
mer	mye
eller	eller
mindre	liten
subtilt	subtilt
vis	vis
til	til
sikkerhetspersonalet	sikkerhetspersonalet
.	$.

Fremgangsmåten	Fremgangsmåten
er	være
enkel	enkel
,	$,
det	det
er	være
bare	bare
å	å
legge	legge
plata	plate
i	i
sekken	sekken
før	før
du	du
sender	sende
den	den
gjennom	gjennom
røntgenmaskinen	røntgenmaskinen
.	$.

Når	når
maskinen	maskin
sender	sende
stråling	stråling
gjennom	gjennom
håndbagasjen	håndbagasjen
din	din
,	$,
vises	vise
organisk	organisk
og	og
uorganisk	uorganisk
materiale	materiale
med	med
ulike	ulik
farger	farge
-	$-
og	og
metall	metall
får	få
gjerne	gjerne
en	en
egen	egen
farge	farge
på	på
bildet	bilde
vekterne	vekterne
får	få
opp	opp
på	på
skjermen	skjerm
sin	sin
.	$.

Dermed	dermed
vil	ville
strålene	stråle
som	som
treffer	treffe
metallplata	metallplata
i	i
veska	veske
sende	sende
tilbake	tilbake
et	en
omriss	omriss
av	av
plata	plate
og	og
bokstavene	bokstavene
,	$,
slik	slik
at	at
beskjeden	beskjed
kommer	komme
fram	fram
.	$.

Kunstneren	Kunstneren
har	ha
i	i
første	første
omgang	omgang
planer	plan
om	om
å	å
reise	reise
rundt	rundt
med	med
platene	platene
på	på
egenhånd	egenhånd
og	og
dokumentere	dokumentere
reaksjonene	reaksjon
ved	ved
hjelp	hjelp
av	av
bilder	bilde
og	og
video	video
.	$.

Om	om
platene	platene
noen	noen
gang	gang
kommer	komme
for	for
salg	salg
,	$,
vites	vites
ikke	ikke
.	$.

Men	men
for	for
handy	handy
lesere	leser
med	med
M+	M+
i	i
metallsløyd	metallsløyd
burde	burde
det	det
la	legge
seg	seg
gjøre	gjøre
å	å
produsere	produsere
egne	egen
plater	plate
med	med
personlige	personlig
budskap	budskap
.	$.

Og	og
så	så
er	være
det	det
bare	bare
å	å
håpe	håpe
på	på
at	at
du	du
møter	møte
en	en
vekter	vekt
med	med
humor	humor
.	$.

Denne	denne
artikkelen	artikkel
er	være
skrevet	skrive
av	av
Magasinets	Magasinets
nettredaksjon	nettredaksjon
,	$,
og	og
ikke	ikke
publisert	publisere
i	i
papirutgaven	papirutgaven
.	$.

Har	ha
du	du
spørsmål	spørsmål
eller	eller
kommentarer	kommentar
,	$,
send	sende
dem	de
til	til
oss	vi
på	på
mail	mail
.	$.

Den	den
synlige	synlig
|	$|

Filmregissør	Filmregissør
Erik	Erik
Poppe	Poppe
(	$(
48	48
)	$)
mener	mene
han	han
må	måtte
være	være
kongen	konge
av	av
føling	føling
i	i
fjæra	fjæra
.	$.

Fra	fra
1984	1984
:	$:

Pressefotograf	Pressefotograf
Poppe	Poppe
på	på
illegal	illegal
visitt	visitt
på	på
grensa	grense
mot	mot
Thailand	Thailand
i	i
Kambodsja	Kambodsja
.	$.

Sommeren	sommer
han	han
fylte	fylle
13	13
:	$:

Erik	Erik
Poppe	Poppe
og	og
Tone	Tone
Stensrud	Stensrud
med	med
gitar	gitar
.	$.

I	i
1973	1973
.	$.

Før	før
han	han
kollapset	kollapse
:	$:

Poppe	Poppe
(	$(
t.v.	t.v.
)	$)
på	på
jobb	jobb
for	for
VG	VG
med	med
reporter	reporter
Jon	Jon
Magnus	Magnus
etter	etter
vulkanutbrudd	vulkanutbrudd
i	i
Colombia	Colombia
i	i
1985	1985
.	$.

Viktigst	viktig
:	$:

Erik	Erik
Poppe	Poppe
på	på
ferie	ferie
med	med
det	det
han	han
er	være
aller	aller
mest	mye
stolt	stolt
av	av
:	$:

Julia	Julia
My	My
,	$,
Anna	Anna
Leah	Leah
og	og
kona	kone
Kirsten	Kirsten
.	$.

Det	det
er	være
14.	14.
november	november
1985	1985
og	og
livet	liv
skal	skulle
aldri	aldri
bli	bli
helt	hel
det	det
samme	samme
igjen	igjen
for	for
Erik	Erik
Poppe	Poppe
.	$.

Han	han
er	være
25	25
år	år
,	$,
stjernefotograf	stjernefotograf
i	i
VG	VG
,	$,
og	og
en	en
av	av
de	de
få	få
i	i
landet	land
som	som
er	være
utstyrt	utstyre
med	med
egen	egen
mobiltelefon	mobiltelefon
.	$.

På	på
vei	vei
til	til
jobb	jobb
ringer	ringe
det	det
i	i
mobilen	mobil
,	$,
den	den
veier	veie
flere	mange
kilo	kilo
.	$.

-	$-
Kan	kunne
du	du
kjøre	kjøre
rett	rett
til	til
Fornebu	Fornebu
?	$?

Det	det
har	ha
vært	være
et	en
vulkanutbrudd	vulkanutbrudd
i	i
Colombia	Colombia
.	$.

Klart	klar
Erik	Erik
Poppe	Poppe
sier	si
ja	ja
.	$.

Han	han
er	være
ung	ung
og	og
barnløs	barnløs
,	$,
han	han
er	være
fotografen	fotograf
som	som
flyr	fly
verden	verden
over	over
,	$,
tar	ta
bilder	bilde
av	av
flomkatastrofer	flomkatastrofer
i	i
Bangladesh	Bangladesh
og	og
bomber	bomber
i	i
Beirut	Beirut
.	$.

Aldri	aldri
en	en
dag	dag
uten	uten
at	at
passet	pass
er	være
med	med
.	$.

Han	han
rekker	rekke
ikke	ikke
å	å
kjøpe	kjøpe
seg	seg
nye	ny
klær	klær
,	$,
og	og
ankommer	ankomme
Colombia	Colombia
iført	iført
lange	lang
underbukser	underbukser
og	og
store	stor
vintersko	vintersko
.	$.

Det	det
er	være
et	en
ubeskrivelig	ubeskrivelig
syn	syn
som	som
møter	møte
ham	han
.	$.

Landsbyen	Landsbyen
Armero	Armero
er	være
begravd	begravd
i	i
leire	leir
.	$.

23	23
000	000
mennesker	menneske
er	være
omkommet	omkomme
,	$,
bare	bare
noen	noen
hundre	hundre
er	være
i	i
live	live
.	$.

Varmen	Varmen
er	være
ekstrem	ekstrem
,	$,
han	han
får	få
ikke	ikke
tak	tak
i	i
nye	ny
sko	sko
,	$,
han	han
bruker	bruke
størrelse	størrelse
46	46
.	$.

Han	han
klipper	klippe
opp	opp
klærne	klær
han	han
reiste	reise
i	i
,	$,
han	han
skritter	skritter
over	over
lik	lik
.	$.

I	i
løpet	løp
av	av
tre	tre
døgn	døgn
besvimer	besvime
han	han
flere	mange
ganger	gang
mellom	mellom
arbeidsøktene	arbeidsøktene
.	$.

Tilbake	tilbake
i	i
Oslo	Oslo
er	være
han	han
en	en
sliten	sliten
mann	mann
når	når
romjula	romjula
endelig	endelig
kommer	komme
.	$.

Det	det
er	være
da	da
det	det
skjer	skje
,	$,
øyeblikket	øyeblikk
som	som
gjør	gjøre
at	at
han	han
20	20
år	år
seinere	sein
skal	skulle
bli	bli
en	en
mann	mann
Hollywood	Hollywood
vil	ville
ha	ha
:	$:

Erik	Erik
Poppe	Poppe
blir	bli
funnet	finne
livløs	livløs
i	i
senga	seng
.	$.

Forrige	forrige
helg	helg
var	være
det	det
premiere	premiere
Norge	Norge
rundt	rundt
på	på
filmen	film
«	$"
deUSYNLIGE	deUSYNLIGE
»	$"
.	$.

For	for
anledningen	anledning
kastet	kaste
regissøren	regissøren
glans	glans
over	over
premieren	premieren
i	i
Trondheim	Trondheim
,	$,
mens	mens
kona	kone
og	og
de	de
to	to
døtrene	datter
var	være
på	på
ferie	ferie
i	i
Hellas	Hellas
.	$.

-	$-
Jeg	jeg
skulle	skulle
vært	være
med	med
,	$,
men	men
så	så
ble	bli
premieren	premieren
utsatt	utsette
.	$.

Nok	nok
en	en
gang	gang
får	få
jeg	jeg
kjenne	kjenne
på	på
prisen	pris
for	for
å	å
drive	drive
med	med
dette	dette
her	her
.	$.

Erik	Erik
Poppe	Poppe
ser	se
ut	ut
som	som
en	en
liten	liten
mann	mann
der	der
han	han
står	stå
og	og
sukker	sukke
blidt	blidt
i	i
stua	stue
si	sin
på	på
Jar	Jar
i	i
Oslo	Oslo
.	$.

Med	med
sine	sin
197	197
centimeter	centimeter
er	være
han	han
langt	lang
fra	fra
liten	liten
,	$,
det	det
er	være
bare	bare
så	så
høyt	høy
under	under
taket	tak
i	i
det	det
som	som
en	en
gang	gang
var	være
atelieret	atelieret
til	til
kunstneren	kunstner
Dagfin	Dagfin
Werenskiold	Werenskiold
.	$.

Det	det
store	stor
gule	gul
huset	hus
fra	fra
1928	1928
er	være
tegnet	tegne
av	av
arkitekten	arkitekt
Magnus	Magnus
Poulsson	Poulsson
.	$.

Veggene	vegg
er	være
fylt	fylle
med	med
kunst	kunst
,	$,
og	og
høyt	høy
der	der
oppe	oppe
henger	henge
Poppes	Poppes
oldefar	oldefar
,	$,
fyrstikkdirektøren	fyrstikkdirektøren
Fritz	Fritz
Heinrich	Heinrich
Frølich	Frølich
.	$.

Et	en
maleri	maleri
fra	fra
1937	1937
signert	signere
Erik	Erik
Werenskiold	Werenskiold
,	$,
faren	fare
til	til
Dagfin	Dagfin
.	$.

Dersom	dersom
du	du
var	være
på	på
premieren	premieren
,	$,
så	se
du	du
kanskje	kanskje
den	den
lange	lang
mannen	mann
med	med
den	den
høye	høy
panna	panne
snike	snike
seg	seg
ut	ut
av	av
kinosalen	kinosalen
før	før
filmen	film
begynte	begynne
.	$.

Regissøren	Regissøren
liker	like
ikke	ikke
å	å
se	se
filmene	film
sine	sin
sammen	sammen
med	med
publikum	publikum
.	$.

Han	han
fikk	få
ikke	ikke
med	med
seg	seg
dem	de
i	i
salen	sal
som	som
ikke	ikke
klarte	klare
å	å
holde	holde
tårene	tåre
tilbake	tilbake
,	$,
for	for
noen	noen
var	være
det	det
helt	hel
sikkert	sikker
.	$.

Sentralt	sentral
i	i
«	$"
deUSYNLIGE	deUSYNLIGE
»	$"
er	være
drapet	drap
på	på
en	en
liten	liten
gutt	gutt
.	$.

Filmen	film
handler	handle
om	om
store	stor
ting	ting
som	som
tro	tro
,	$,
håp	håp
,	$,
kjærlighet	kjærlighet
,	$,
tilgivelse	tilgivelse
og	og
forsoning	forsoning
.	$.

-	$-
Nylig	nylig
fikk	få
jeg	jeg
spørsmål	spørsmål
om	om
hva	hva
jeg	jeg
tenker	tenke
når	når
en	en
hel	hel
sal	sal
gråter	gråte
etter	etter
å	å
ha	ha
sett	se
filmen	film
.	$.

-	$-
Hva	hva
svarte	svare
du	du
?	$?

-	$-
Det	det
betyr	bety
i	i
beste	god
fall	fall
at	at
filmen	film
har	ha
rørt	rørt
ved	ved
noe	noe
.	$.

Men	men
det	det
gjør	gjøre
meg	jeg
også	også
litt	litt
usikker	usikker
,	$,
det	det
gir	gi
meg	jeg
en	en
redsel	redsel
for	for
å	å
ha	ha
gått	gå
for	for
langt	lang
.	$.

Denne	denne
gangen	gang
ville	ville
jeg	jeg
male	male
med	med
bred	bred
pensel	pensel
,	$,
men	men
jeg	jeg
er	være
litt	litt
redd	redd
for	for
de	de
gråtereaksjonene	gråtereaksjonene
.	$.

-	$-
Er	være
det	det
annet	annen
å	å
forvente	forvente
når	når
det	det
handler	handle
om	om
et	en
barn	barn
som	som
blir	bli
drept	drepe
?	$?

-	$-
Filmen	film
handler	handle
ikke	ikke
om	om
gutten	gutt
som	som
ble	bli
borte	borte
,	$,
men	men
om	om
dem	de
som	som
lever	leve
.	$.

Om	om
å	å
komme	komme
seg	seg
videre	vid
hva	hva
du	du
enn	enn
har	ha
opplevd	oppleve
,	$,
eller	eller
mistet	miste
.	$.

Akkurat	akkurat
som	som
i	i
hans	hans
forrige	forrige
film	film
,	$,
«	$"
Hawaii	Hawaii
,	$,
Oslo	Oslo
»	$"
,	$,
er	være
også	også
denne	denne
filmen	film
spekket	spekket
med	med
religiøs	religiøs
symbolikk	symbolikk
.	$.

-	$-
Jeg	jeg
er	være
ikke	ikke
kristen	kristen
,	$,
men	men
har	ha
stor	stor
