penger	penge
Trøndelag	Trøndelag
Teater	Teater
,	$,
Trondheim	Trondheim
Symfoniorkester	Symfoniorkester
og	og
Olavsfestdagene	Olavsfestdagene
.	$.

*	*
Støtten	Støtten
til	til
visuelle	visuelle
uttrykk	uttrykk
,	$,
film	film
og	og
utekunst	utekunst
er	være
økt	øke
med	med
én	én
million	million
kroner	krone
.	$.

Støtten	Støtten
til	til
scenekunst	scenekunst
er	være
økt	øke
med	med
nesten	nesten
to	to
millioner	million
kroner	krone
.	$.

*	*
Totalt	total
er	være
tilskuddet	tilskuddet
til	til
frivillige	frivillig
organisasjoner	organisasjon
og	og
kulturgrupper	kulturgrupper
økt	øke
med	med
over	over
ti	ti
millioner	million
kroner	krone
.	$.

*	*
Kommunen	Kommunen
leier	leie
ut	ut
skoler	skole
gratis	gratis
til	til
kulturarrangement	kulturarrangement
og	og
frivillige	frivillig
organisasjoner	organisasjon
.	$.

*	*
Kommunen	Kommunen
har	ha
satt	sette
i	i
gang	gang
samarbeid	samarbeid
mellom	mellom
Trondheim	Trondheim
kulturskole	kulturskole
og	og
skolene	skole
.	$.

*	*
Flere	mange
scener	scene
for	for
musikk	musikk
og	og
andre	annen
kulturarrangement	kulturarrangement
er	være
etablert	etablere
,	$,
og	og
bruken	bruk
av	av
torget	torget
som	som
arena	arena
for	for
kulturarrangement	kulturarrangement
har	ha
økt	øke
.	$.

*	*
Rockheim	Rockheim
,	$,
det	det
nasjonale	nasjonal
opplevelsessenteret	opplevelsessenteret
for	for
pop	pop
og	og
rock	rock
åpnet	åpne
i	i
2010	2010
.	$.

Nestleder	Nestleder
i	i
kultur-	kultur-
,	$,
idretts-	idretts-
og	og
friluftskomiteen	friluftskomiteen
,	$,
Randi	Randi
Sakshaug	Sakshaug
(	$(
Ap	Ap
)	$)
,	$,
sier	si
de	de
rødgrønne	rødgrønn
vil	ville
fortsette	fortsette
arbeidet	arbeid
på	på
kulturfeltet	kulturfelt
i	i
neste	neste
periode	periode
.	$.

Vil	ville
fortsette	fortsette
|	$|

-	$-
Vi	vi
ønsker	ønske
å	å
holde	holde
fast	fast
ved	ved
og	og
videreføre	videreføre
den	den
gode	god
kulturpolitikken	kulturpolitikk
vi	vi
har	ha
ført	føre
fra	fra
2005	2005
til	til
nå	nå
.	$.

Mange	mange
tar	ta
nok	nok
for	for
gitt	gi
det	det
vi	vi
har	ha
fått	få
til	til
,	$,
men	men
dersom	dersom
Frp	Frp
kommer	komme
til	til
makta	makt
og	og
får	få
stor	stor
innflytelse	innflytelse
,	$,
kan	kunne
det	det
bety	bety
en	en
svekking	svekking
av	av
kulturtilbudet	kulturtilbudet
i	i
Trondheim	Trondheim
,	$,
sier	si
hun	hun
.	$.

Under	under
budsjettbehandlingen	budsjettbehandling
i	i
fjor	fjor
ønsket	ønske
Frp	Frp
å	å
kutte	kutte
kommunens	kommune
bevilgninger	bevilgning
til	til
kulturformål	kulturformål
med	med
15	15
millioner	million
,	$,
og	og
mange	mange
mener	mene
den	den
viktigste	viktig
skillelinjen	skillelinjen
i	i
kulturpolitikken	kulturpolitikk
i	i
Trondheim	Trondheim
går	gå
mellom	mellom
Frp	Frp
og	og
de	de
andre	annen
partiene	parti
.	$.

Frp	Frp
på	på
sin	sin
side	side
,	$,
ønsker	ønske
å	å
tone	tone
ned	ned
dette	dette
skillet	skille
.	$.

-	$-
Forskjellen	forskjell
er	være
ikke	ikke
så	så
stor	stor
mellom	mellom
oss	vi
og	og
de	de
andre	annen
partiene	parti
.	$.

Vi	vi
ønsker	ønske
å	å
overføre	overføre
noen	noen
midler	middel
fra	fra
kulturbudsjettet	kulturbudsjettet
til	til
eldreomsorg	eldreomsorg
og	og
skole	skole
,	$,
og	og
så	så
ønsker	ønske
vi	vi
i	i
større	stor
grad	grad
å	å
bruke	bruke
kulturmidlene	kulturmidlene
til	til
breddekultur	breddekultur
,	$,
barn	barn
og	og
unge	ung
,	$,
og	og
idrett	idrett
,	$,
sier	si
Frps	Frp
ordførerkandidat	ordførerkandidat
i	i
Trondheim	Trondheim
,	$,
Kristian	Kristian
Dahlberg	Dahlberg
Hauge	Hauge
.	$.

Men	men
han	han
er	være
tydelig	tydelig
på	på
at	at
partiet	parti
har	ha
et	en
annet	annen
syn	syn
på	på
det	det
offentliges	offentlig
rolle	rolle
når	når
det	det
gjelder	gjelde
finansiering	finansiering
av	av
kulturlivet	kulturliv
i	i
byen	by
.	$.

-	$-
I	i
Trondheim	Trondheim
er	være
det	det
gode	god
muligheter	mulighet
for	for
at	at
næringsliv	næringsliv
og	og
privatpersoner	privatperson
kan	kunne
slutte	slutte
mer	mye
opp	opp
om	om
kulturtilbudet	kulturtilbudet
,	$,
sier	si
Hauge	Hauge
.	$.

Frivillighet	Frivillighet
|	$|

-	$-
Slike	slik
ordninger	ordning
binder	binde
opp	opp
store	stor
midler	middel
på	på
kulturbudsjettet	kulturbudsjettet
.	$.

Vi	vi
mener	mene
vi	vi
får	få
mer	mye
kultur	kultur
for	for
pengene	penge
dersom	dersom
vi	vi
investerer	investere
dem	de
i	i
frivillighet	frivillighet
i	i
stedet	sted
.	$.

Hauge	Hauge
mener	mene
også	også
det	det
er	være
problematisk	problematisk
at	at
avtaler	avtale
med	med
fylkeskommunen	fylkeskommune
og	og
staten	stat
om	om
knutepunktinstitusjonene	knutepunktinstitusjonene
legger	legge
føringer	føring
for	for
kommunens	kommune
budsjetter	budsjett
.	$.

-	$-
Det	det
er	være
jo	jo
litt	litt
merkelig	merkelig
at	at
mens	mens
kommunen	kommune
på	på
grunn	grunn
av	av
en	en
vanskelig	vanskelig
situasjon	situasjon
må	måtte
kutte	kutte
i	i
bevilgningene	bevilgning
til	til
drift	drift
av	av
skoler	skole
,	$,
er	være
vi	vi
forpliktet	forplikte
til	til
å	å
øke	øke
støtten	støtte
til	til
Trøndelag	Trøndelag
Teater	Teater
,	$,
symfoniorkesteret	symfoniorkesteret
og	og
Olavsfestdagene	Olavsfestdagene
.	$.

Jeg	jeg
mener	mene
kommunen	kommune
burde	burde
fått	få
handlingsrom	handlingsrom
til	til
å	å
tilpasse	tilpasse
denne	denne
støtten	støtte
ut	ut
fra	fra
vår	vår
økonomiske	økonomisk
situasjon	situasjon
,	$,
sier	si
ordførerkandidaten	ordførerkandidaten
.	$.

Utsmykningsordningen	Utsmykningsordningen
i	i
kommunen	kommune
,	$,
som	som
fastsetter	fastsetter
at	at
rundt	rundt
én	én
prosent	prosent
av	av
investeringer	investering
i	i
bygg	bygg
skal	skulle
brukes	bruke
på	på
utsmykning	utsmykning
,	$,
mener	mene
Hauge	Hauge
er	være
problematisk	problematisk
av	av
samme	samme
grunn	grunn
.	$.

En	en
villfarelse	villfarelse
|	$|

Mens	mens
byens	by
kulturfolk	kulturfolk
frykter	frykte
at	at
et	en
Frp	Frp
i	i
maktposisjon	maktposisjon
vil	ville
strupe	strupe
kulturbudsjettet	kulturbudsjettet
,	$,
står	stå
Høyres	Høyre
ordførerkandidat	ordførerkandidat
Yngve	Yngve
Brox	Brox
fast	fast
ved	ved
at	at
det	det
ikke	ikke
kommer	komme
til	til
å	å
skje	skje
.	$.

Han	han
lover	love
vekst	vekst
,	$,
ikke	ikke
kutt	kutt
,	$,
i	i
kulturbudsjettet	kulturbudsjettet
.	$.

-	$-
Med	med
KrF	KrF
og	og
Venstre	Venstre
i	i
en	en
samarbeidskonstellasjon	samarbeidskonstellasjon
sammen	sammen
med	med
Frp	Frp
har	ha
ikke	ikke
Frp	Frp
noen	noen
sjanse	sjanse
til	til
å	å
få	få
gjennomslag	gjennomslag
for	for
kulturpolitikken	kulturpolitikk
sin	sin
.	$.

Vi	vi
tror	tro
ikke	ikke
kulturen	kultur
kan	kunne
være	være
markedsfinansiert	markedsfinansiert
alene	alene
,	$,
og	og
vi	vi
har	ha
ambisjoner	ambisjon
om	om
at	at
kulturfeltet	kulturfelt
i	i
Trondheim	Trondheim
skal	skulle
fortsette	fortsette
å	å
styrkes	styrke
gjennom	gjennom
støtte	støtte
fra	fra
det	det
offentlige	offentlig
,	$,
sier	si
ordførerkandidaten	ordførerkandidaten
.	$.

Brox	Brox
mener	mene
skillet	skille
mellom	mellom
Frp	Frp
og	og
de	de
andre	annen
partiene	parti
ikke	ikke
er	være
den	den
eneste	eneste
viktige	viktig
kulturpolitiske	kulturpolitisk
skillelinja	skillelinja
i	i
Trondheim	Trondheim
.	$.

-	$-
Synet	Synet
på	på
kulturens	kultur
frie	fri
og	og
uavhengige	uavhengig
rolle	rolle
er	være
en	en
viktig	viktig
forskjell	forskjell
mellom	mellom
oss	vi
og	og
Arbeiderpartiet	Arbeiderpartiet
,	$,
sier	si
Brox	Brox
,	$,
og	og
kritiserer	kritisere
Arbeiderpartiet	Arbeiderpartiet
for	for
å	å
legge	legge
for	for
å	å
drive	drive
for	for
mye	mye
politisk	politisk
og	og
byråkratisk	byråkratisk
styring	styring
av	av
kulturfeltet	kulturfelt
.	$.

Sterk	sterk
politisk	politisk
styring	styring
|	$|

Randi	Randi
Sakshaug	Sakshaug
(	$(
Ap	Ap
)	$)
mener	mene
offentlig	offentlig
styring	styring
av	av
kulturmidlene	kulturmidlene
må	måtte
til	til
for	for
å	å
sikre	sikre
at	at
midlene	middel
havner	havne
der	der
de	de
trengs	trenges
mest	mye
.	$.

-	$-
Hensikten	hensikt
med	med
å	å
ha	ha
en	en
sterk	sterk
politisk	politisk
styring	styring
over	over
kulturmidlene	kulturmidlene
er	være
å	å
sikre	sikre
at	at
de	de
relativt	relativ
beskjedne	beskjeden
summene	summene
som	som
kommune	kommune
,	$,
fylke	fylke
og	og
stat	stat
bevilger	bevilge
til	til
kultur	kultur
treffer	treffe
målrettet	målrettet
.	$.

Dette	dette
gjør	gjøre
det	det
for	for
eksempel	eksempel
mulig	mulig
å	å
sørge	sørge
for	for
at	at
barn	barn
og	og
unge	unge
får	få
et	en
godt	god
kulturtilbud	kulturtilbud
,	$,
og	og
at	at
debutanter	debutanter
prioriteres	prioritere
i	i
like	like
stor	stor
grad	grad
som	som
etablerte	etablert
kunstnere	kunstner
,	$,
sier	si
Sakshaug	Sakshaug
.	$.

-	$-
Folk	folk
med	med
kulturfaglig	kulturfaglig
kompetanse	kompetanse
er	være
med	med
gjennom	gjennom
hele	hel
prosessen	prosess
.	$.

De	de
har	ha
generelt	generell
sett	se
stor	stor
innflytelse	innflytelse
på	på
de	de
endelige	endelig
vedtakene	vedtakene
,	$,
sier	si
hun	hun
.	$.

Nye	ny
Nato	NATO
|	$|

Dagens	Dagens
leder	leder
|	$|

*	*
I	i
USA	USA
har	ha
det	det
bygd	bygge
seg	seg
opp	opp
en	en
økende	øke
misnøye	misnøye
med	med
de	de
europeiske	europeisk
nasjonenes	nasjonenes
bidrag	bidrag
til	til
krigføring	krigføring
i	i
andre	annen
land	land
,	$,
nå	nå
sist	sist
i	i
Libya-krigen	Libya-krigen
.	$.

USA	USA
sørget	sørge
for	for
de	de
viktigste	viktig
overvåkingskapasitetene	overvåkingskapasitetene
,	$,
hovedsakelig	hovedsakelig
med	med
droner	droner
,	$,
mens	mens
europeiske	europeisk
bombefly	bombefly
gikk	gå
tom	tom
for	for
presisjonsammunisjon	presisjonsammunisjon
,	$,
og	og
måtte	måtte
be	be
USA	USA
om	om
mer	mye
.	$.

Ifølge	ifølge
Justin	Justin
Logan	Logan
ved	ved
Cato	Cato
Institute	Institute
ble	bli
fasiten	fasiten
at	at
Washington	Washington
lånte	lånte
penger	penge
fra	fra
Kina	Kina
for	for
å	å
kjøpe	kjøpe
ammunisjon	ammunisjon
,	$,
som	som
så	så
ble	bli
gitt	gi
til	til
Europa	Europa
for	for
å	å
slippes	slippe
over	over
Libya	Libya
.	$.

Natos	Natos
generalsekretær	generalsekretær
Anders	Anders
Fogh	Fogh
Rasmussen	Rasmussen
har	ha
også	også
sagt	si
at	at
Libya-krigen	Libya-krigen
hadde	ha
vært	være
umulig	umulig
uten	uten
USA	USA
.	$.

Logan	Logan
repliserer	repliserer
i	i
en	en
artikkel	artikkel
i	i
The	The
Washington	Washington
Times	Times
:	$:

«	$"
Tenk	tenke
på	på
det	det
et	en
øyeblikk	øyeblikk
:	$:

Europa	Europa
,	$,
med	med
en	en
økonomi	økonomi
og	og
en	en
befolkning	befolkning
som	som
er	være
større	stor
enn	enn
USAs	USA
,	$,
er	være
ikke	ikke
selv	selv
i	i
stand	stand
til	til
å	å
slå	slå
ut	ut
et	en
tredjerangs	tredjerangs
forsvar	forsvar
rett	rett
over	over
Middelhavet	Middelhavet
.	$.

*	*
Den	den
samme	samme
frustrasjonen	frustrasjon
har	ha
USA	USA
i	i
Afghanistan	Afghanistan
.	$.

Logan	Logan
har	ha
snakket	snakke
med	med
to	to
militære	militær
offiserer	offiser
fra	fra
et	en
stort	stor
europeisk	europeisk
Nato-land	Nato-land
,	$,
som	som
sier	si
at	at
de	de
ikke	ikke
kunne	kunne
ha	ha
deltatt	delta
der	der
uten	uten
amerikansk	amerikansk
støtte	støtte
,	$,
fordi	fordi
de	de
mangler	mangle
en	en
rekke	rekke
kapasiteter	kapasiteter
.	$.

«	$"
Til	til
tross	tross
for	for
Europas	Europa
størrelse	størrelse
og	og
velstand	velstand
,	$,
er	være
det	det
en	en
militær	militær
dverg	dverg
sammenliknet	sammenlikne
med	med
USA	USA
»	$"
,	$,
slår	slå
Logan	Logan
fast	fast
.	$.

Natos	Natos
generalsekretær	generalsekretær
har	ha
allerede	allerede
tatt	ta
signalene	signal
,	$,
og	og
i	i
et	en
intervju	intervju
med	med
Politiken	Politiken
nylig	nylig
advarer	advare
han	han
mot	mot
manglende	mangle
prioritering	prioritering
av	av
forsvaret	forsvar
i	i
europeiske	europeisk
Nato-land	Nato-land
:	$:

«	$"
Skjer	skje
det	det
,	$,
vil	ville
amerikanerne	amerikaner
miste	miste
interessen	interesse
for	for
Europa	Europa
,	$,
og	og
europeerne	europeer
miste	miste
internasjonal	internasjonal
innflytelse	innflytelse
.	$.

Land	Land
som	som
India	India
og	og
Kina	Kina
vil	ville
ta	ta
over	over
Europas	Europa
innflytelse	innflytelse
»	$"
,	$,
sier	si
han	han
.	$.

*	*
Natos	Natos
nye	ny
strategi	strategi
er	være
at	at
de	de
europeiske	europeisk
landene	land
går	gå
sammen	sammen
om	om
å	å
skaffe	skaffe
seg	seg
militær	militær
kapasiteter	kapasiteter
til	til
å	å
drive	drive
offensive	offensiv
kriger	krig
.	$.

De	de
enkelte	enkelt
landene	land
skal	skulle
spesialisere	spesialisere
seg	seg
på	på
bestemte	bestemt
roller	rolle
og	og
kapasiteter	kapasiteter
.	$.

Samtidig	samtidig
skal	skulle
de	de
gå	gå
sammen	sammen
om	om
å	å
kjøpe	kjøpe
inn	inn
og	og
drive	drive
forsvarssystemer	forsvarssystemer
.	$.

Landene	Landene
må	måtte
venne	venne
seg	seg
til	til
at	at
de	de
selv	selv
ikke	ikke
har	ha
det	det
som	som
trengs	trenges
for	for
eget	egen
forsvar	forsvar
.	$.

Denne	denne
strategien	strategi
vil	ville
forsterke	forsterke
de	de
fleste	mange
negative	negativ
utviklingstrekk	utviklingstrekk
i	i
Nato	NATO
.	$.

I	i
stedet	sted
for	for
nasjonale	nasjonal
forsvar	forsvar
,	$,
vil	ville
vi	vi
få	få
en	en
europeisk	europeisk
militærmakt	militærmakt
,	$,
som	som
verken	verken
kan	kunne
forsvare	forsvare
Europa	Europa
eller	eller
hvert	hver
enkelt	enkel
land	land
,	$,
men	men
som	som
i	i
stedet	sted
styrker	styrke
muligheten	mulighet
for	for
å	å
drive	drive
angrepskrig	angrepskrig
med	med
USA	USA
i	i
andre	annen
deler	del
av	av
verden	verden
.	$.

Lokalt	Lokalt
styre	styre
|	$|

Dagens	Dagens
leder	leder
|	$|

En	en
stadig	stadig
striere	striere
strøm	strøm
av	av
statlige	statlig
pålegg	pålegg
og	og
reguleringer	reguleringer
er	være
i	i
ferd	ferd
med	med
å	å
drukne	drukne
det	det
norske	norsk
lokaldemokratiet	lokaldemokratiet
i	i
papir	papir
.	$.

Handlingsrommet	Handlingsrommet
til	til
lokalpolitikerne	lokalpolitikerne
blir	bli
mindre	liten
,	$,
de	de
statlige	statlig
byråkratene	byråkratene
og	og
reguleringene	reguleringene
blir	bli
flere	mange
,	$,
og	og
verst	ille
er	være
det	det
for	for
små	liten
kommuner	kommune
som	som
ikke	ikke
kan	kunne
brødfø	brødfø
en	en
hær	hær
av	av
saksbehandlere	saksbehandler
som	som
kan	kunne
ta	ta
unna	unna
strømmen	strøm
av	av
veiledere	veiledere
,	$,
handlingsplaner	handlingsplaner
og	og
rundskriv	rundskriv
,	$,
i	i
tillegg	tillegg
til	til
lover	lov
og	og
forskrifter	forskrift
.	$.

Det	det
kommunale	kommunal
byråkratiet	byråkrati
har	ha
økt	øke
med	med
over	over
seks	seks
milliarder	milliard
kroner	krone
bare	bare
siden	siden
de	de
rødgrønne	rødgrønn
overtok	overta
i	i
2005	2005
.	$.

Og	og
ingenting	ingenting
tyder	tyde
på	på
at	at
den	den
statlige	statlig
reguleringsiveren	reguleringsiveren
vil	ville
avta	avta
.	$.

Bergens	Bergens
Tidendes	Tidendes
journalist	journalist
Gunnar	Gunnar
Wiederstrøm	Wiederstrøm
viste	vise
denne	denne
uka	uke
hvordan	hvordan
alle	all
arealplaner	arealplaner
som	som
legges	legge
ut	ut
til	til
offentlig	offentlig
høring	høring
,	$,
skal	skulle
etterprøves	etterprøves
av	av
en	en
rekke	rekke
offentlige	offentlig
etater	etat
og	og
kontrollinstanser	kontrollinstanser
,	$,
i	i
tillegg	tillegg
til	til
fylkeskommunen	fylkeskommune
og	og
kommunen	kommune
selv	selv
.	$.

I	i
2009	2009
leverte	levere
statlige	statlig
instanser	instans
innsigelser	innsigelser
mot	mot
nesten	nesten
en	en
tredel	tredel
av	av
de	de
kommunale	kommunal
planene	plan
i	i
Hordaland	Hordaland
.	$.

I	i
2004	2004
ble	bli
det	det
levert	levere
innsigelser	innsigelser
bare	bare
mot	mot
hver	hver
femte	femte
plan	plan
.	$.

Og	og
hvis	hvis
en	en
statlig	statlig
myndighet	myndighet
har	ha
avgitt	avgi
en	en
innsigelse	innsigelse
,	$,
kan	kunne
ikke	ikke
planen	plan
egengodkjennes	egengodkjennes
av	av
lokalpolitikere	lokalpolitikere
.	$.

Da	da
må	måtte
de	de
enten	enten
etterkomme	etterkomme
innsigelsen	innsigelsen
fullt	full
og	og
helt	hel
,	$,
gå	gå
i	i
forhandlinger	forhandling
med	med
innsigelsesmyndigheten	innsigelsesmyndigheten
eller	eller
satse	satse
på	på
at	at
Miljøverndepartementet	Miljøverndepartementet
omgjør	omgjøre
innsigelsen	innsigelsen
.	$.

En	en
slik	slik
prosess	prosess
kan	kunne
ta	ta
svært	svær
lang	lang
tid	tid
.	$.

En	en
undersøkelse	undersøkelse
blant	blant
folkevalgte	folkevalgt
KS	KS
har	ha
utført	utføre
viser	vise
at	at
frustrasjonen	frustrasjon
over	over
statlig	statlig
inngrep	inngrep
i	i
det	det
lokale	lokal
selvstyret	selvstyre
er	være
stor	stor
og	og
økende	øke
.	$.

75	75
prosent	prosent
av	av
kommunepolitikerne	kommunepolitiker
er	være
helt	hel
eller	eller
delvis	delvis
enig	enig
i	i
påstanden	påstanden
om	om
at	at
statlig	statlig
detaljstyring	detaljstyring
fører	føre
til	til
dårligere	dårlig
beslutninger	beslutning
for	for
innbyggerne	innbygger
,	$,
mens	mens
over	over
70	70
prosent	prosent
er	være
enig	enig
i	i
at	at
fylkesmannen	fylkesmann
går	gå
for	for
langt	lang
inn	inn
i	i
kommunenes	kommune
avgjørelser	avgjørelse
.	$.

Politikere	politiker
fra	fra
Frp	Frp
,	$,
Høyre	Høyre
,	$,
KrF	KrF
,	$,
Venstre	Venstre
og	og
Sp	Sp
er	være
opptatt	opptatt
av	av
problemet	problem
,	$,
mens	mens
politikere	politiker
fra	fra
SV	Sv
og	og
Ap	Ap
i	i
større	stor
grad	grad
aksepterer	akseptere
utviklingen	utvikling
.	$.

SV	Sv
må	måtte
i	i
denne	denne
sammenhengen	sammenheng
sies	si
å	å
være	være
det	det
partiet	parti
som	som
er	være
minst	liten
bekymret	bekymre
over	over
den	den
statlige	statlig
reguleringsiveren	reguleringsiveren
.	$.

Sp	Sp
har	ha
det	det
lokale	lokal
selvstyret	selvstyre
som	som
sin	sin
fanesak	fanesak
,	$,
men	men
nå	nå
bør	burde
tida	tid
være	være
inne	inne
også	også
for	for
Ap	Ap
og	og
SV	Sv
.	$.

Venstresida	Venstresida
har	ha
alt	alt
å	å
tape	tape
på	på
å	å
la	legge
kampen	kamp
for	for
lokaldemokrati	lokaldemokrati
og	og
mot	mot
byråkrati	byråkrati
bli	bli
en	en
paradesak	paradesak
for	for
Frp	Frp
og	og
Høyre	Høyre
.	$.

Vurderer	vurdere
historisk	historisk
løft	løft
|	$|

Tilbud	Tilbud
:	$:

Som	som
første	første
kommune	kommune
tilbyr	tilby
Trondheim	Trondheim
nå	nå
sine	sin
deltidsansatte	deltidsansatt
samme	samme
stillingsbrøk	stillingsbrøk
som	som
de	de
faktisk	faktisk
jobber	jobbe
.	$.

Hanne	Hanne
Bjurstrøm	Bjurstrøm
vurderer	vurdere
å	å
gjøre	gjøre
lov	lov
av	av
det	det
historiske	historisk
vedtaket	vedtak
.	$.

Jubler	Jubler
:	$:

Margot	Margot
Eriksson	Eriksson
håper	håpe
bystyrevedtaket	bystyrevedtaket
i	i
Trondheim	Trondheim
kan	kunne
føre	føre
til	til
at	at
hun	hun
går	gå
fra	fra
20	20
til	til
50	50
%	%
stilling	stilling
som	som
hjelpepleier	hjelpepleier
.	$.

Foto	foto
:	$:

Ida	Ida
Søraunet	Søraunet
Wangberg	Wangberg
|	$|

-	$-
Hvis	hvis
du	du
over	over
lengre	lang
tid	tid
jobber	jobbe
utover	utover
avtalt	avtale
arbeidstid	arbeidstid
,	$,
viser	vise
det	det
at	at
arbeidsgiver	arbeidsgiver
har	ha
et	en
større	stor
behov	behov
for	for
din	din
arbeidskraft	arbeidskraft
.	$.

Da	da
må	måtte
du	du
også	også
få	få
den	den
tryggheten	trygghet
og	og
sikkerheten	sikkerhet
som	som
følger	følge
med	med
en	en
større	stor
stilling	stilling
,	$,
sier	si
arbeidsminister	arbeidsminister
Hanne	Hanne
Bjurstrøm	Bjurstrøm
.	$.

Torsdag	torsdag
vedtok	vedta
Trondheim	Trondheim
bystyre	bystyre
at	at
alle	all
deltidsansatte	deltidsansatt
i	i
kommunen	kommune
har	ha
rett	rett
på	på
større	stor
stillinger	stilling
dersom	dersom
de	de
har	ha
jobbet	jobbe
utover	utover
avtalt	avtale
arbeidstid	arbeidstid
de	de
siste	sist
femten	femten
månedene	måned
.	$.

Dermed	dermed
kan	kunne
tusenvis	tusenvis
av	av
ansatte	ansatt
innenfor	innenfor
helse-	helse-
og	og
omsorgsektoren	omsorgsektoren
i	i
byen	by
belage	belage
seg	seg
på	på
tilbud	tilbud
om	om
større	stor
stillinger	stilling
i	i
tiden	tid
som	som
kommer	komme
.	$.

Vedtaket	vedtak
har	ha
også	også
nådd	nå
arbeidsminister	arbeidsminister
Hanne	Hanne
Bjurstrøms	Bjurstrøms
bord	bord
,	$,
som	som
varsler	varsle
at	at
departementet	departement
vil	ville
utrede	utrede
muligheten	mulighet
for	for
å	å
lage	lage
en	en
lov	lov
som	som
sikrer	sikre
deltidsansatte	deltidsansatt
som	som
systematisk	systematisk
jobber	jobbe
mye	mye
overtid	overtid
rett	rett
på	på
større	stor
stillinger	stilling
.	$.

-	$-
Jeg	jeg
har	ha
bare	bare
godt	god
å	å
si	si
om	om
vedtaket	vedtak
som	som
er	være
gjort	gjøre
i	i
Trondheim	Trondheim
.	$.

Det	det
viser	vise
en	en
kommune	kommune
som	som
er	være
villig	villig
til	til
å	å
gå	gå
i	i
bresjen	bresje
for	for
å	å
få	få
bukt	bukt
med	med
ufrivillig	ufrivillig
deltid	deltid
,	$,
og	og
vi	vi
skal	skulle
følge	følge
dem	de
nøye	nøye
i	i
vårt	vår
arbeid	arbeid
med	med
å	å
få	få
på	på
plass	plass
regler	regel
for	for
dette	dette
på	på
nasjonalt	nasjonal
nivå	nivå
som	som
i	i
så	så
fall	fall
også	også
vil	ville
omfatte	omfatte
privat	privat
sektor	sektor
,	$,
sier	si
hun	hun
.	$.

Arbeidsdepartementet	Arbeidsdepartementet
la	legge
på	på
fredag	fredag
fram	fram
en	en
rekke	rekke
tiltak	tiltak
som	som
de	de
håper	håpe
endelig	endelig
kan	kunne
løse	løse
floken	floke
med	med
ufrivillig	ufrivillig
deltid	deltid
.	$.

-	$-
Dette	dette
er	være
en	en
form	form
for	for
skjult	skjule
arbeidsløshet	arbeidsløshet
som	som
hindrer	hindre
mange	mange
,	$,
særlig	særlig
kvinner	kvinne
,	$,
i	i
få	få
den	den
nødvendige	nødvendig
tryggheten	trygghet
på	på
jobb	jobb
.	$.

Det	det
er	være
et	en
stort	stor
problem	problem
,	$,
som	som
vi	vi
lenge	lenge
har	ha
villet	ville
til	til
livs	liv
.	$.

Nå	nå
opplever	oppleve
jeg	jeg
at	at
vi	vi
begynner	begynne
å	å
få	få
på	på
plass	plass
de	de
nødvendige	nødvendig
tiltakene	tiltak
,	$,
sier	si
Bjurstrøm	Bjurstrøm
.	$.

Koster	koste
nesten	nesten
ingenting	ingenting
|	$|

I	i
Trondheim	Trondheim
kommune	kommune
arbeider	arbeide
ansatte	ansatt
i	i
stillinger	stilling
under	under
20	20
prosent	prosent
i	i
snitt	snitt
56	56
prosent	prosent
,	$,
mens	mens
ansatte	ansatt
med	med
stillinger	stilling
mellom	mellom
20	20
og	og
50	50
prosent	prosent
i	i
snitt	snitt
arbeider	arbeide
57	57
prosent	prosent
.	$.

-	$-
Det	det
handler	handle
om	om
å	å
trygge	trygge
arbeidssituasjonen	arbeidssituasjon
til	til
tusenvis	tusenvis
av	av
ansatte	ansatt
i	i
kommunen	kommune
,	$,
sier	si
bystyrerepresentant	bystyrerepresentant
for	for
partiet	parti
Rødt	Rødt
Arne	Arne
Byrkjeflot	Byrkjeflot
.	$.

Byrkjeflot	Byrkjeflot
,	$,
som	som
også	også
er	være
leder	leder
for	for
LO	LO
i	i
Trondheim	Trondheim
,	$,
var	være
mannen	mann
bak	bak
forslaget	forslag
som	som
torsdag	torsdag
ble	bli
vedtatt	vedta
med	med
Ap	Ap
,	$,
SV	Sv
,	$,
Sp	Sp
,	$,
Miljøpartiet	Miljøpartiet
,	$,
Rødt	Rødt
,	$,
Pensjonistpartiet	Pensjonistpartiet
,	$,
Demokratene	Demokratene
og	og
Venstres	Venstre
stemmer	stemme
.	$.

-	$-
Hvor	hvor
stor	stor
stilling	stilling
du	du
har	ha
på	på
papiret	papir
er	være
avgjørende	avgjørende
for	for
om	om
du	du
får	få
lån	lån
og	og
om	om
du	du
får	få
delta	delta
i	i
pensjonsordningen	pensjonsordningen
på	på
arbeidsplassen	arbeidsplass
.	$.

Samtidig	samtidig
er	være
tilværelsen	tilværelsen
som	som
deltidsansatt	deltidsansatt
i	i
svært	svær
lav	lav
stillingsbrøk	stillingsbrøk
utsatt	utsatt
,	$,
fordi	fordi
du	du
i	i
praksis	praksis
aldri	aldri
kan	kunne
si	si
nei	nei
til	til
å	å
jobbe	jobbe
,	$,
sier	si
Byrkjeflot	Byrkjeflot
.	$.

Han	han
bedyrer	bedyre
at	at
vedtaket	vedtak
nesten	nesten
ikke	ikke
koster	koste
noe	noe
som	som
helst	helst
.	$.

-	$-
I	i
prinsippet	prinsipp
